170886,8998,13609,15558,18488,158664,14916,13806,40319,22250,368439,28140,17452,10536,15388,157137
8998,1390,1138,3416,1878,18858,1759,2103,4144,3348,37038,4040,1408,1670,1236,18803
13609,1138,2298,1969,2078,14435,2251,1957,5150,2639,40520,4335,2224,1246,2410,14877
15558,3416,1969,10428,1692,17153,1805,2443,10050,6372,130319,10637,4193,4088,3059,60251
18488,1878,2078,1692,5104,33238,5135,3644,5974,4535,51989,4561,5373,3218,3929,31490
158664,18858,14435,17153,33238,489658,30823,36714,33452,35805,263726,33450,21957,33157,19041,249474
14916,1759,2251,1805,5135,30823,5876,4143,5017,3448,43025,4029,3861,2921,4412,25245
13806,2103,1957,2443,3644,36714,4143,4578,7132,5341,85122,6699,5471,5402,4228,64842
40319,4144,5150,10050,5974,33452,5017,7132,14534,8993,125324,12348,8899,6308,7493,76855
22250,3348,2639,6372,4535,35805,3448,5341,8993,7990,74435,9135,5280,5386,4386,50446
368439,37038,40520,130319,51989,263726,43025,85122,125324,74435,1354784,128507,85788,60994,67597,943657
28140,4040,4335,10637,4561,33450,4029,6699,12348,9135,128507,12020,7156,6052,6565,80425
17452,1408,2224,4193,5373,21957,3861,5471,8899,5280,85788,7156,4012,2392,3272,34521
10536,1670,1246,4088,3218,33157,2921,5402,6308,5386,60994,6052,2392,3544,2170,31938
15388,1236,2410,3059,3929,19041,4412,4228,7493,4386,67597,6565,3272,2170,4160,26610
157137,18803,14877,60251,31490,249474,25245,64842,76855,50446,943657,80425,34521,31938,26610,504444
